Name;Degree;Gender;Age;Birthyear;Instru;Birthplace;Country;Labels;Styles;Ethnical origin
Duke Ellington;443;male;122;1899;Piano;Washington;USA;RCA Victor, Brunswick, Verve, Blue Note, Impulse!, Columbia, Capitol;Jazz, Swing;Black
Miles Davis;404;male;95;1926;Trompet;Alton;USA;Prestige, Columbia, Warner;Jazz, Bebop, Hard Bop, Jazz Fusion;Black
Bill Evans;298;male;92;1929;Piano;Plainfield;USA;Riverside, Verve, Columbia, Fantasy, Warner;Jazz, Jazz Modal, Cool Jazz;White
Stephane Grappelli;291;male;113;1908;Violon;Paris;France;Signature, Verve, EMI, Pablo;Jazz, Swing, Jazz Manouche;White
Stan Getz;291;male;94;1927;Saxophone;Malibu;USA;Roost, Verve;Jazz, Bossa Nova, Cool Jazz;White
Charlie Parker;287;male;101;1920;Saxophone;Kansas City;USA;Savoy, Dial, Verve;Jazz, Bebop;Black
Dizzy Gillespie;272;male;104;1917;Trompet;Cheraw;USA;Bluebird, Vocalion, Okeh;Jazz, Bebop;Black
Johnny Griffin;267;male;93;1928;Saxophone;Chicago;USA;Blue Note, Riverside, Antilles;Hard Bop, Jazz;Black
Michel Portal;255;male;86;1935;Clarinet;Bayonne;France;Label Bleu, Universal, Sony, Dreyfus, EMI, Futura, Owl;Jazz, Classic;White
Dave Douglas;246;male;58;1963;Trompet;Montclair;USA;Arabesque, Soul Note, Tzadik, RCA Victor;Jazz, Classic;White
Herbie Hancock;241;male;81;1940;Piano;Chicago;USA;Blue Note, Warner, Columbia, Mercury;Jazz, Rock, Funk, Soul;Black
Count Basie;235;male;117;1904;Piano;Red Bank;USA;Decca, Columbia, Roulette;Jazz, Swing, Blues;Black
Martial Solal;232;male;94;1927;Piano;Alger;Algérie;Columbia, MPS, Pathé;Jazz;White
Wayne Shorter;232;male;88;1933;Saxophone;Newark;USA;Blue Note, Columbia, Verve;Jazz, Jazz Rock;Black
Dave Liebman;215;male;75;1946;Saxophone;New York;USA;Sony, Philips, ECM, Polydor, Columbia, Owl, Candid, Soul Note;Jazz;White
Luiz Bonfa;202;male;99;1922;Guitar;Rio de Janeiro;Brésil;Verve, Dot;Bossa Nova, Samba;Hispanic
Sonny Rollins;196;male;91;1930;Saxophone;New York;USA;Prestige, Blue Note, Comtemporary, RCA Victor, Impulse!, Milestone;Jazz, Bebop;Black
Horace Silver;193;male;93;1928;Piano;Nouvelle-Rochelle;USA;Blue Note;Jazz, Hard Bop;Black
John Coltrane;182;male;95;1926;Saxophone;Hamlet;USA;Prestige, Blue Note, Atlantic, Impulse!;Jazz, Bebop, Hard Bop, Jazz Modal;Black
Benny Goodman;180;male;112;1909;Clarinet;Chicago;USA;Bluebird, Columbia;Jazz, Swing;White
Coleman Hawkins;176;male;117;1904;Saxophone;Saint-Joseph;USA;RCA Victor, Columbia, Capitol;Jazz ;Black
Joao Gilberto;176;male;90;1931;Guitar, Vocal;Juazeiro;Brésil;Verve, Philips, WEA;Bossa Nova, Samba;Hispanic
Clark Terry;173;male;101;1920;Trompet;Saint-Louis;USA;RCA Victor, Columbia, Impluse!, Verve;Jazz, Swing, Bebop, Hard Bop;Black
Kenny Burrell;162;male;90;1931;Guitar;Détroit;USA;Capitol, Blue Note, Prestige, Verve, Fantasy;Bebop, Hard Bop, Blues, Soul Jazz;White
Chico Buarque;160;male;77;1944;Vocal;Rio de Janeiro;Brésil;Philips, Universal, RCA, BMG;Bossa Nova, Samba;Hispanic
Frank Sinatra;158;male;106;1915;Vocal;Hoboken;USA;CBS, Columbia, Capitol, Liberty, Atlantic, Reprise;Jazz, Blues;White
Paul Chambers;153;male;86;1935;Double Bass;Pittsburgh;USA;Blue Note, Mercury, Impulse!, Prestige, Atlantic;Jazz;Black
Paolo Fresu;150;male;60;1961;Trompet;Berchidda;Italie;Label Bleu;Jazz;White
Tommy Flanagan;146;male;91;1930;Piano;Détroit;USA;Blue Note, Prestige, Pablo;Jazz, Bebop;Black
Jo Jones;145;male;110;1911;batterie;Chicago;USA;ECM;Jazz;Black
Charles Mingus;143;male;99;1922;Double Bass;Nogales;USA;Impulse!, Debut, Candid, Atlantic, Blue Note, Mercury, Columbia;Jazz, Free Jazz;Black
Steve Swallow;143;male;81;1940;Basse;New York;USA;ECM, Watt;Jazz;White
Lionel Hampton;140;male;113;1908;Vibraphone;Louisville;USA;Bluebird, Columbia, Verve, RCA Victor;Jazz;Black
Fats Waller;139;male;117;1904;Piano;New York;USA;RCA Victor, Bluebird;Jazz, Swing;Black
Freddie Hubbard;137;male;83;1938;Trompet;Indianapolis;USA;Jive, Arista, Atlantic, Sony;Jazz, Bebop, Hard Bop;Black
Sidney Bechet;136;male;124;1897;Clarinet;La Nouvelle-Orléans;USA;Blue Note, Bluebird;Jazz, Hot Jazz;Black
Matty Malneck;134;male;118;1903;Violon;Newark;USA;Columbia, Brunswick, Decca;Jazz, Swing;White
Ernie Royal;126;male;100;1921;Trompet;Los Angeles;USA;RCA Victor, Capitol, Norgran, Urania, Roost, Savoy;Jazz;Black
Serge Gainsbourg;125;male;93;1928;Vocal;Paris;France;Mercury, Philips;Chanson Française, Jazz, Rock, Reggae, Pop, Funk;White
Johnny Hodges;124;male;114;1907;Saxophone;Cambridge;USA;Bluebird, Verve;Jazz;Black
Oscar Peterson;123;male;96;1925;Piano;Montréal;Canada;Mercury, MPS, Pablo, Telarc, Verve;Jazz;Black
Ella Fitzgerald;122;female;104;1917;Vocal;Newport News;USA;Capitol, Decca, Pablo, Reprise, Verve;Jazz, Scat, Swing, Bebop, Blues;Black
David Sanborn;121;male;76;1945;Saxophone;Tampa;USA;Verve, Decca, Waner;Jazz, Jazz Fusion;White
Milt Jackson;118;male;98;1923;Vibraphone;New York;USA;Blue Note, Atlantic, Warner, Impulse!;Hard Bop, Bebop;Black
Bernie Glow;117;male;95;1926;Trompet;New York;USA;RCA Victor, Columbia, Verven Atlantic, CTI, Mercury;Jazz;White
Ben Webster;117;male;112;1909;Saxophone;Kansas City;USA;Verve;Jazz;Black
Freddie Green;116;male;110;1911;Guitar;Charleston;USA;;Jazz;Black
Grant Green;115;male;86;1935;Guitar;Saint-Louis;USA;Blue Note, United;Jazz, Soul Jazz, Hard Bop, Jazz Blues;Black
Edgar Sampson;115;male;114;1907;Saxophone;New York;USA;Coral;Jazz;Black
Jon Hendricks;115;male;100;1921;Vocal;Newark;USA;Verve;Jazz;Black
